Comment,Designator,Footprint,LCSC
"10U","C1","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"CP_220uF","C10","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"470n","C2,C3,C9","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C1871"
"C1u","C4,C5,C6","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C1848"
"CP_680uF","C7","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm",""
"C470u","C8","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm",""
"DIODE","D1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",""
"LED_GREEN","D2","LED_THT:LED_D3.0mm",""
"LED_YELLOW","D3","LED_THT:LED_D3.0mm",""
"LED_RED","D4","LED_THT:LED_D3.0mm",""
"D_Schottky","D5","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","C8678"
"BATT_LED_A","D6","LED_THT:LED_D3.0mm",""
"BATT_LED_B","D7","LED_THT:LED_D3.0mm",""
"RJ45","J1,J5","PS2BaseMount:RJ45_Floating",""
"Conn_01x06_Female","J2,J8","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal",""
"USB_B","J4","PS2BaseMount:USB_A_Custom_Throughhole_MountGuide",""
"DB15_Female_HighDensity","J6","PS2BaseMount:ScreenBoardArea",""
"INDUCTOR_33uH","L1","Inductor_SMD:L_12x12mm_H8mm"," C169375"
"PS2AVPort_SideMount","M1","PS2BaseMount:PS2_AVPort_Complete_MountSilk",""
"PS2AVPort","M2","PS2BaseMount:PS2_AVPort_Complete",""
"TS_LFT","M3","PS2BaseMount:JST_1.25_5Pin",""
"TS_RHT","M4","PS2BaseMount:JST_1.25_5Pin",""
"TRIGGERS_LFT","M5","PS2BaseMount:JST_1.25_3Pin",""
"TRIGGERS_RIGHT","M6","PS2BaseMount:JST_1.25_3Pin",""
"Fan","M7","PS2BaseMount:JST_1.5_2Pin",""
"PS2_MemCardMount","P1","PS2BaseMount:PS2_MemCardMountPoints",""
"PS2_ControlMount","P2,P3","PS2BaseMount:PS2_BoardMountFootprint",""
"2N7000","Q1,Q4,Q5,Q6","PS2BaseMount:2N7000_HandSolder",""
"Q_NMOS_GDS","Q2","Package_TO_SOT_THT:TO-220F-3_Vertical",""
"2N2219","Q3","PS2BaseMount:2N7000_HandSolder",""
"100K","R1,R4","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"220","R10","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"R10K","R11,R12,R13,R17,R18,R19","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"R100K","R14,R15","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"1K","R2,R6","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"4.7K","R5","Resistor_SMD:R_2010_5025Metric_Pad1.52x2.65mm_HandSolder",""
"4.7K","R7","Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder",""
"R220","R8,R9","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"INTERACTION","SW1","PS2BaseMount:SMT_2X4X3.5MM",""
"START","SW2","PS2BaseMount:SquishyTact",""
"SELECT","SW3","PS2BaseMount:SquishyTact",""
"OrangePiZero","U1","PS2BaseMount:OrangePiZero",""
"RJ14K","U10","PS2BaseMount:RJ14K_Modified",""
"18650_BatteryMount","U11,U12","PS2BaseMount:18650_3xHolderV3",""
"DPAD","U13","PS2BaseMount:DPad_Buttons",""
"RumbleA","U14","PS2BaseMount:JST_1.5_2Pin",""
"RumbleB","U15","PS2BaseMount:JST_1.5_2Pin",""
"GNDMount","U7,U16,U24,U25,U26","PS2BaseMount:GND",""
"ScreenPWM","U17","PS2BaseMount:JST_1.5_2Pin",""
"PIC_14","U18","Package_DIP:DIP-14_W7.62mm_LongPads",""
"PS2_RESET","U19","PS2BaseMount:GND",""
"PJ30240","U2","PS2BaseMount:AudioJack_PJ30240",""
"LM2596T-5","U20","Package_TO_SOT_SMD:TO-263-5_TabPin3"," C10002"
"GND_IN","U21","PS2BaseMount:MountPoint",""
"BATT_IN","U22","PS2BaseMount:MountPoint",""
"5vMount","U23","PS2BaseMount:MountPoint",""
"Audio_Left","U3","PS2BaseMount:JST_1.5_2Pin",""
"Audio_Right","U4","PS2BaseMount:JST_1.5_2Pin",""
"PAM8403","U5","w_smd_dil:so-16","C348830"
"DS18B20","U6","Package_TO_SOT_THT:TO-92_Inline",""
"PIC16F18876-I_PT","U8","PS2BaseMount:PIC16F18876-I_PT",""
"XOST_Buttons","U9","PS2BaseMount:XOST_ButtonsV2",""
